Field1,Field2,Field3_text,Field3_links,Field4
НЕКОТОРЫЕ ВЫЗОВЫ И ВОЗМОЖНОСТИ ДЛЯ РОССИИ И РЕГИОНОВ В ПЛАНЕ ГЛОБАЛЬНОГО ТРЕНДА ДЕКАРБОНИЗАЦИИ,"Нургалиев Д.К., Селивановская С.Ю., Кожевникова М.В., Галицкая П.Ю.",Георесурсы,https://www.elibrary.ru/contents.asp?id=47185311,"
Георесурсы. 
2021. 
Т. 23. № 3.  С. 8-16.
"
"ОПАСНОСТЬ РУСЛОВЫХ ПРОЦЕССОВ НА РЕКАХ РОССИИ: КРИТЕРИИ ОЦЕНКИ, КАРТОГРАФИРОВАНИЕ, РЕГИОНАЛЬНЫЙ АНАЛИЗ","Чалов Р.С., Чернов А.В., Михайлова Н.М.",Географический вестник,https://www.elibrary.ru/contents.asp?id=46263475,"
Географический вестник. 
2021. 
№ 1 (56).  С. 53-67.
"
"ЗОНИРОВАНИЕ ВЫСОКОГОРНЫХ ТЕРРИТОРИЙ ПО ГЕОЭКОЛОГИЧЕСКИМ НАГРУЗКАМ, ОБУСЛОВЛЕННЫМ ГЕОДИНАМИЧЕСКИМИ И КЛИМАТИЧЕСКИМИ ВОЗДЕЙСТВИЯМИ","Чотчаев Х.О., Бурдзиева О.Г., Заалишвили В.Б.",Геология и геофизика Юга России,https://www.elibrary.ru/contents.asp?id=44892619,"
Геология и геофизика Юга России. 
2021. 
Т. 11. № 1.  С. 81-94.
"
МЕТОДИКА КРАТКОСРОЧНОГО ПРОГНОЗИРОВАНИЯ НАРАСТАНИЯ ТОЛЩИНЫ ЛЬДА В СЕВЕРО-ВОСТОЧНОМ СЕКТОРЕ КАСПИЙСКОГО МОРЯ,"Наурозбаева Ж.К., Лобанов В.А.",Географический вестник,https://www.elibrary.ru/contents.asp?id=44356953,"
Географический вестник. 
2020. 
№ 3 (54).  С. 81-97.
"
АНАЛИЗ ГИДРОЛОГИЧЕСКОГО РЕЖИМА И СВЯЗЕЙ ЛЕТНЕ-ОСЕННЕГО СТОКА НИЖНЕГО АМУРА С ЦИРКУЛЯЦИОННЫМИ ИНДЕКСАМИ,"Лисина И.А., Василевская Л.Н., Василевский Д.Н., Подвербная Е.Н., Агеева С.В.",Географический вестник,https://www.elibrary.ru/contents.asp?id=44356953,"
Географический вестник. 
2020. 
№ 3 (54).  С. 98-112.
"
"СТАТИСТИЧЕСКИЕ ВЗАИМОСВЯЗИ ВАРИАЦИЙ ГЕОМАГНИТНОГО ПОЛЯ, АВРОРАЛЬНОГО ЭЛЕКТРОДЖЕТА И ГЕОИНДУЦИРОВАННЫХ ТОКОВ","Воробьев А.В., Пилипенко В.А., Сахаров Я.А., Селиванов В.Н.",Солнечно-земная физика,https://www.elibrary.ru/contents.asp?id=37276575,"
Солнечно-земная физика. 
2019. 
Т. 5. № 1.  С. 48-58.
"
ОЦЕНКА КАЧЕСТВА ЧИСЛЕННОГО ПРОГНОЗА ТЕМПЕРАТУРЫ ВОЗДУХА В ЗАВИСИМОСТИ ОТ СИНОПТИЧЕСКОЙ СИТУАЦИИ В ПЕРМСКОМ КРАЕ,"Костарев С.В., Русин И.Н.",Географический вестник,https://www.elibrary.ru/contents.asp?id=41212286,"
Географический вестник. 
2019. 
№ 3 (50).  С. 48-62.
"
"ВАЛИДАЦИЯ ДАННЫХ ПО ОСАДКАМ, ПОЛУЧАЕМЫХ ПО МУЛЬТИСПУТНИКОВОЙ МОДЕЛИ TMPA ДЛЯ ГОРНОЙ ТЕРРИТОРИИ КЫРГЫЗСТАНА","Подрезов О.А., Рыскаль М.О.",Географический вестник,https://www.elibrary.ru/contents.asp?id=37217707,"
Географический вестник. 
2019. 
№ 1 (48).  С. 63-74.
"
ФРАКТАЛЬНЫЙ АНАЛИЗ МЕТЕОРОЛОГИЧЕСКИХ РЯДОВ С ПОМОЩЬЮ МЕТОДА МИНИМАЛЬНОГО ПОКРЫТИЯ,"Аптуков В.Н., Митин В.Ю.",Географический вестник,https://www.elibrary.ru/contents.asp?id=38538970,"
Географический вестник. 
2019. 
№ 2 (49).  С. 67-79.
"
ПРОГНОЗ СИЛЬНЫХ СНЕГОПАДОВ НА УРАЛЕ С ИСПОЛЬЗОВАНИЕМ ЧИСЛЕННЫХ МОДЕЛЕЙ АТМОСФЕРЫ,"Калинин Н.А., Пищальникова Е.В., Шихов А.Н., Быков А.В.",Географический вестник,https://www.elibrary.ru/contents.asp?id=37217707,"
Географический вестник. 
2019. 
№ 1 (48).  С. 93-106.
"
УСЛОВИЯ ФОРМИРОВАНИЯ И ПРОГНОЗ СИЛЬНЫХ ОСАДКОВ С ПОМОЩЬЮ ИНДЕКСОВ НЕУСТОЙЧИВОСТИ АТМОСФЕРЫ НА ТЕРРИТОРИИ УРАЛЬСКОГО ПРИКАМЬЯ,Калинин Н.А.,Географический вестник,https://www.elibrary.ru/contents.asp?id=42316320,"
Географический вестник. 
2019. 
№ 4 (51).  С. 96-112.
"
О ФОРМИРОВАНИИ ПОДВОДНОГО РЕЛЬЕФА ДНА ДОЛИННЫХ ВОДОХРАНИЛИЩ (НА ПРИМЕРЕ КАМСКОГО),"Калинин В.Г., Пьянков С.В., Перевощикова О.А.",Географический вестник,https://www.elibrary.ru/contents.asp?id=34842341,"
Географический вестник. 
2018. 
№ 1 (44).  С. 128-137.
"
ОСОБЕННОСТИ ЗАИЛЕНИЯ КРАСНОДАРСКОГО ВОДОХРАНИЛИЩА. ОПЫТ ОЦЕНКИ ПО ДАННЫМ БАТИМЕТРИЧЕСКИХ СЪЁМОК,"Лагута А.А., Погорелов А.В.",Географический вестник,https://www.elibrary.ru/contents.asp?id=36773244,"
Географический вестник. 
2018. 
№ 4 (47).  С. 54-66.
"
"МАКРОСЕЙСМИЧЕСКОЕ ПРОЯВЛЕНИЕ СЕЙСМИЧЕСКИХ СОБЫТИЙ, ОБУСЛОВЛЕННОЕ ВЛИЯНИЕМ ГРУНТОВЫХ УСЛОВИЙ И ФОРМИРОВАНИЕ КАРТ СЕЙСМИЧЕСКОГО МИКРОРАЙОНИРОВАНИЯ","Заалишвили В.Б., Мельков Д.А., Макиев В.Д.",Геология и геофизика Юга России,https://www.elibrary.ru/contents.asp?id=34838170,"
Геология и геофизика Юга России. 
2018. 
№ 1.  С. 48-55.
"
СЛЕДЫ СИЛЬНОГО ЗЕМЛЕТРЯСЕНИЯ В СРЕДНЕВЕКОВОМ ГОРОДЕ ФАНАГОРИЯ НА ТАМАНСКОМ ПОЛУОСТРОВЕ,"Овсюченко А.Н., Корженков А.М., Вакарчук Р.Н., Горбатиков А.В., Ларьков А.С., Рогожин Е.А., Сысолин А.И.",Геология и геофизика Юга России,https://www.elibrary.ru/contents.asp?id=34544772,"
Геология и геофизика Юга России. 
2017. 
№ 3.  С. 78-94.
"
МНОГОЛЕТНИЕ ИЗМЕНЕНИЯ ТЕМПЕРАТУРЫ ВОЗДУХА И ПОЧВЫ НА КРАЙНЕМ СЕВЕРО-ВОСТОКЕ РОССИИ,"Сточкуте Ю.В., Василевская Л.Н.",Географический вестник,https://www.elibrary.ru/contents.asp?id=34253301,"
Географический вестник. 
2016. 
№ 2 (37).  С. 84-96.
"
РАЗВИТИЕ СИСТЕМЫ ИНСТРУМЕНТАЛЬНОГО МОНИТОРИНГА КАЗБЕКСКОГО ВУЛКАНИЧЕСКОГО ЦЕНТРА,"Заалишвили В.Б., Бергер М.Г., Малиев И.Н., Мельков Д.А., Кануков А.С., Макиев В.Д.",Геология и геофизика Юга России,https://www.elibrary.ru/contents.asp?id=34347934,"
Геология и геофизика Юга России. 
2016. 
№ 4.  С. 44-51.
"
ГЕОИНФОРМАЦИОННОЕ МОДЕЛИРОВАНИЕ ГРУНТОВЫХ УСЛОВИЙ ГЕОЛОГИЧЕСКИХ ОБЪЕКТОВ. БАНКИ И БАЗЫ ДАННЫХ СИЛЬНЫХ ДВИЖЕНИЙ,"Кануков А.С., Мельков Д.А., Харебов К.С.",Геология и геофизика Юга России,https://www.elibrary.ru/contents.asp?id=34247771,"
Геология и геофизика Юга России. 
2016. 
№ 2.  С. 48-59.
"
ВНЕЗАПНЫЕ НАЧАЛА МАГНИТНЫХ БУРЬ И ЗЕМЛЕТРЯСЕНИЯ,"Гульельми А.В., Лавров И.П., Собисевич А.Л.",Солнечно-земная физика,https://www.elibrary.ru/contents.asp?id=34211699,"
Солнечно-земная физика. 
2015. 
Т. 1. № 1.  С. 98-103.
"
СТРУКТУРА БОЛЬШОГО КАВКАЗА - РЕЗУЛЬТАТ ПОЛОГОГО НАДВИГА ЗЕМНОЙ КОРЫ СКИФСКОЙПЛИТЫ НА КОНСОЛИДИРОВАННУЮ КОРУМИКРОПЛИТ ЮЖНОГО КАВКАЗА,"Шемпелев А.Г., Кухмазов С.У., Чотчаев Х.О., Невский Л.Н.",Геология и геофизика Юга России,https://www.elibrary.ru/contents.asp?id=34189817,"
Геология и геофизика Юга России. 
2015. 
№ 4.  С. 129-146.
"
МОНИТОРИНГ ПРИРАЩЕНИЙ СИЛЫ ТЯЖЕСТИ НА ОПОРНЫХ ГРАВИМЕТРИЧЕСКИХ ПУНКТАХ СЕВЕРНОГО КАВКАЗА ВЫСОКОТОЧНЫМИ ОТНОСИТЕЛЬНЫМИ ГРАВИМЕТРАМИ,"Милюков В.К., Юшкин В.Д., Миронов А.П., Заалишвили В.Б., Кануков А.С., Дзеранов Б.В.",Геология и геофизика Юга России,https://www.elibrary.ru/contents.asp?id=33850984,"
Геология и геофизика Юга России. 
2013. 
№ 2.  С. 39-45.
"
О ПРИЧИНАХ И СЛЕДСТВИЯХ СОВРЕМЕННЫХ ИЗМЕНЕНИЙ КЛИМАТА,Котляков В.М.,Солнечно-земная физика,https://www.elibrary.ru/contents.asp?id=33840112,"
Солнечно-земная физика. 
2012. 
№ 21 (134).  С. 110-114.
"
ВЛИЯНИЕ СОЛНЕЧНОЙ АКТИВНОСТИ НА ПОГОДНО-КЛИМАТИЧЕСКИЕ ХАРАКТЕРИСТИКИ ТРОПОСФЕРЫ,"Жеребцов Г.А., Коваленко В.А.",Солнечно-земная физика,https://www.elibrary.ru/contents.asp?id=33840112,"
Солнечно-земная физика. 
2012. 
№ 21 (134).  С. 98-106.
"
ОСОБЕННОСТИ ДОЛГОВРЕМЕННЫХ ИЗМЕНЕНИЙ ХАРАКТЕРИСТИК ВЕГЕТАЦИОННЫХ ПЕРИОДОВ В ПЕРМСКОМ КРАЕ,"Шкляев В.А., Ермакова Л.Н., Шкляева Л.С.",Географический вестник,https://www.elibrary.ru/contents.asp?id=33742364,"
Географический вестник. 
2012. 
№ 2 (21).  С. 68-73.
"
ТЕХНОГЕННАЯ СЕЙСМИЧНОСТЬ НА МЕСТОРОЖДЕНИЯХ НЕФТИ И ГАЗА,"Керимов И.А., Гайсумов М.Я., Ахматханов Р.С.",Геология и геофизика Юга России,https://www.elibrary.ru/contents.asp?id=33747388,"
Геология и геофизика Юга России. 
2012. 
№ 1.  С. 22-45.
"
ВАРИАЦИИ НЕРАВНОМЕРНОГО ВРАЩЕНИЯ ЗЕМЛИ КАК ТРИГГИРУЮЩИЙ ФАКТОР СЕЙСМИЧНОСТИ ПЛАНЕТЫ,"Уткин В.И., Юрков А.К., Цурко И.А.",Геология и геофизика Юга России,https://www.elibrary.ru/contents.asp?id=33747388,"
Геология и геофизика Юга России. 
2012. 
№ 1.  С. 3-13.
"
ОСОБЕННОСТИ ПРОЯВЛЕНИЯ ЗИМНИХ ВНЕЗАПНЫХ СТРАТОСФЕРНЫХ ПОТЕПЛЕНИЙ В ПЕРИОД 2008-2010 ГГ. НАД РЕГИОНАМИ СИБИРИ И ДАЛЬНЕГО ВОСТОКА РОССИИ ПО ДАННЫМ ЛИДАРНЫХ И СПУТНИКОВЫХ ИЗМЕРЕНИЙ ТЕМПЕРАТУРЫ,"Куркин В.И., Черниговская М.А., Маричев В.Н., Николашкин С.В., Бычков В.В.",Солнечно-земная физика,https://www.elibrary.ru/contents.asp?id=33666663,"
Солнечно-земная физика. 
2011. 
№ 17 (130).  С. 166-173.
"
СТАТИСТИЧЕСКИЕ ХАРАКТЕРИСТИКИ ТЕМПЕРАТУРЫ ВОЗДУХА ХОЛОДНОГО ПЕРИОДА В Г. ПЕРМИ И ИХ ВРЕМЕННЫЕ ИЗМЕНЕНИЯ,"Шкляев В.А., Ермакова Л.Н., Шкляева Л.С.",Географический вестник,https://www.elibrary.ru/contents.asp?id=33673751,"
Географический вестник. 
2011. 
№ 2 (17).  С. 44-48.
"
ОЦЕНКА СЕЙСМИЧЕСКОЙ ОПАСНОСТИ ТЕРРИТОРИИ И ПОСТРОЕНИЕ ВЕРОЯТНОСТНЫХ КАРТ,"Заалишвили В.Б., Дзеранов Б.В., Габараев А.Ф.",Геология и геофизика Юга России,https://www.elibrary.ru/contents.asp?id=33726589,"
Геология и геофизика Юга России. 
2011. 
№ 1.  С. 48-58.
"
ПРОБЛЕМЫ СИНХРОНИЗМА ЭЛЕКТРОМАГНИТНЫХ И СЕЙСМИЧЕСКИХ СОБЫТИЙ В ДИНАМИЧЕСКОЙ СИСТЕМЕ МАГНИТОСФЕРА-ТЕХНОСФЕРА-ЛИТОСФЕРА,"Зотов О.Д., Гульельми А.В.",Солнечно-земная физика,https://www.elibrary.ru/contents.asp?id=33658799,"
Солнечно-земная физика. 
2010. 
№ 16 (129).  С. 19-25.
"
"МОРФОЛОГИЯ, ПЕРЕФОРМИРОВАНИЯ РУСЛА И ПЕРЕКАТОВ Р. МЕЗЕНИ (НИЖНЕЕ ТЕЧЕНИЕ)","Чалов Р.С., Завадский А.С., Рулева С.Н., Чалов С.Р.",Географический вестник,https://www.elibrary.ru/contents.asp?id=33654981,"
Географический вестник. 
2010. 
№ 3 (14).  С. 11-23.
"
ИССЛЕДОВАНИЕ МИКРОКЛИМАТА ГОРОДА С ЦЕЛЬЮ ОЦЕНКИ БИОМЕТЕОРОЛОГИЧЕСКИХ ПОКАЗАТЕЛЕЙ СЕЛИТЕБНОЙ ТЕРРИТОРИИ,"Шкляев В.А., Ермакова Л.Н., Шкляева Л.С.",Географический вестник,https://www.elibrary.ru/contents.asp?id=33654981,"
Географический вестник. 
2010. 
№ 3 (14).  С. 52-59.
"
ОЦЕНКА АГРОКЛИМАТИЧЕСКИХ РЕСУРСОВ ТЕРРИТОРИИ ПЕРМСКОГО КРАЯ,"Ермакова Л.Н., Толмачева Н.И., Безматерных Е.А.",Географический вестник,https://www.elibrary.ru/contents.asp?id=33654980,"
Географический вестник. 
2010. 
№ 2 (13).  С. 52-58.
"
РАЗВИТИЕ ГИДРОМЕТРИЧЕСКИХ ВЕРТУШЕК В РОССИИ И ЗА РУБЕЖОМ,Клименко Д.Е.,Географический вестник,https://www.elibrary.ru/contents.asp?id=33654980,"
Географический вестник. 
2010. 
№ 2 (13).  С. 64-76.
"
СТАТИСТИЧЕСКИЕ ХАРАКТЕРИСТИКИ УСТОЙЧИВОГО СНЕЖНОГО ПОКРОВА В ПЕРМСКОМ КРАЕ,"Шкляев В.А., Шкляева Л.С.",Географический вестник,https://www.elibrary.ru/contents.asp?id=33654982,"
Географический вестник. 
2010. 
№ 4 (15).  С. 68-74.
"
ДОЛГОВРЕМЕННАЯ СОЛНЕЧНАЯ АКТИВНОСТЬ - КОНТРОЛИРУЮЩИЙ ФАКТОР ГЛОБАЛЬНОГО ПОТЕПЛЕНИЯ 20 ВЕКА,"Дергачев В.А., Распопов О.М.",Солнечно-земная физика,https://www.elibrary.ru/contents.asp?id=33382319,"
Солнечно-земная физика. 
2008. 
№ 12-2 (125).  С. 272-275.
"
ХРАНЕНИЕ И АРХИВАЦИЯ ГЕОЛОГО-ГЕОФИЗИЧЕСКОЙ ИНФОРМАЦИИ,"Андреева Е.Е., Баранова А.Г., Ганиев Р.Р., Гайнутдинов Р.И., Жибрик О.Н.",Георесурсы,https://www.elibrary.ru/contents.asp?id=33200749,"
Георесурсы. 
2008. 
№ 2 (25).  С. 10.
"
ИССЛЕДОВАНИЕ ВЛИЯНИЯ РЕЛЬЕФА ПЕРМСКОГО КРАЯ НА РАСПРЕДЕЛЕНИЕ ПОЛЕЙ ОСАДКОВ,"Калинин Н.А., Фрик Л.В., Смирнова А.А.",Географический вестник,https://www.elibrary.ru/contents.asp?id=33654978,"
Географический вестник. 
2008. 
№ 2 (8).  С. 187-195.
"
СОВРЕМЕННЫЕ ГЛОБАЛЬНЫЕ И РЕГИОНАЛЬНЫЕ ИЗМЕНЕНИЯ КЛИМАТА,"Переведенцев Ю.П., Наумов Э.П., Шанталинский К.М.",Географический вестник,https://www.elibrary.ru/contents.asp?id=33654976,"
Географический вестник. 
2006. 
№ 2 (4).  С. 84-96.
"
КЛИМАТИЧЕСКИЕ РЕСУРСЫ УРАЛЬСКОГО ПРИКАМЬЯ,"Шкляев В.А., Шкляева Л.С.",Географический вестник,https://www.elibrary.ru/contents.asp?id=33654976,"
Географический вестник. 
2006. 
№ 2 (4).  С. 97-110.
"
